player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Raphaël Guerreiro,DF,Portugal,28-354,1993,3.1,1,3,1,33.3,0.97,0.32,0.33,1.00,17.7,0,0,0,0.4,0.4,0.12,+0.6,+0.6
Raphaël Varane,DF,France,29-230,1993,3.5,0,2,0,0.0,0.57,0.00,0.00,,7.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3
Raphinha,FW,Brazil,25-362,1996,3.5,0,8,6,75.0,2.29,1.71,0.00,0.00,19.1,1,0,0,1.2,1.2,0.15,-1.2,-1.2
Rasmus Nissen,DF,Denmark,25-153,1997,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Raúl Jiménez,FW,Mexico,31-220,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Remo Freuler,MF,Switzerland,30-240,1992,3.6,1,3,1,33.3,0.84,0.28,0.33,1.00,10.3,0,0,0,0.5,0.5,0.17,+0.5,+0.5
Renato Steffen,FW,Switzerland,31-038,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ricardo Horta,FW,Portugal,28-087,1994,1.3,1,3,2,66.7,2.27,1.51,0.33,0.50,13.5,0,0,0,0.8,0.8,0.25,+0.2,+0.2
Ricardo Rodríguez,DF,Switzerland,30-108,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Richarlison,FW,Brazil,25-215,1997,3.6,3,8,4,50.0,2.23,1.11,0.38,0.75,12.1,0,0,0,2.1,2.1,0.26,+0.9,+0.9
Richie Laryea,DF,Canada,27-338,1995,1.8,0,2,0,0.0,1.13,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Riley McGree,FW,Australia,24-039,1998,2.9,0,3,1,33.3,1.02,0.34,0.00,0.00,26.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ritsu Doan,FW,Japan,24-178,1998,2.4,2,4,3,75.0,1.66,1.24,0.50,0.67,20.1,0,0,0,0.5,0.5,0.13,+1.5,+1.5
Riyadh Sharahili,MF,Saudi Arabia,29-227,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Roan Wilson,MF,Costa Rica,20-224,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Robert Lewandowski,FW,Poland,34-112,1988,4.0,2,10,2,20.0,2.50,0.50,0.10,0.50,18.1,1,1,2,2.9,1.4,0.14,-0.9,-0.4
Robert Skov,DF,Denmark,26-205,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Roberto Alvarado,FW,Mexico,24-095,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rodri,DF,Spain,26-172,1996,4.3,0,1,0,0.0,0.23,0.00,0.00,,36.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Rodrigo Bentancur,MF,Uruguay,25-169,1997,2.4,0,3,1,33.3,1.27,0.42,0.00,0.00,15.8,0,0,0,0.6,0.6,0.21,-0.6,-0.6
Rodrigo De Paul,MF,Argentina,28-201,1994,4.7,0,4,2,50.0,0.85,0.42,0.00,0.00,18.7,0,0,0,0.7,0.7,0.18,-0.7,-0.7
Rodrygo,MF,Brazil,21-336,2001,2.0,0,6,2,33.3,2.98,0.99,0.00,0.00,18.7,1,0,0,0.4,0.4,0.07,-0.4,-0.4
Rogelio Funes Mori,FW,Mexico,31-281,1991,0.1,0,1,0,0.0,18.00,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Romain Saïss,DF,Morocco,32-260,1990,5.0,1,1,1,100.0,0.20,0.20,1.00,1.00,0.9,0,0,0,0.8,0.8,0.79,+0.2,+0.2
Romario Ibarra,MF,Ecuador,28-078,1994,0.8,0,2,1,50.0,2.65,1.32,0.00,0.00,23.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Romelu Lukaku,FW,Belgium,29-212,1993,0.6,0,5,2,40.0,8.18,3.27,0.00,0.00,6.6,0,0,0,1.7,1.7,0.35,-1.7,-1.7
Roozbeh Cheshmi,DF,IR Iran,29-140,1993,0.6,1,1,1,100.0,1.55,1.55,1.00,1.00,28.1,0,0,0,0.1,0.1,0.05,+0.9,+0.9
Ruben Vargas,FW,Switzerland,24-128,1998,3.2,0,3,1,33.3,0.95,0.32,0.00,0.00,17.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Rubin Colwill,MF,Wales,20-228,2002,0.1,0,1,0,0.0,9.00,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Ró-Ró,DF,Qatar,32-127,1990,2.9,0,2,0,0.0,0.69,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Rónald Matarrita,DF,Costa Rica,28-155,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rúben Dias,DF,Portugal,25-211,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.03,0.0,0.0
Rúben Neves,MF,Portugal,25-273,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Saad Al Sheeb,GK,Qatar,32-295,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sadegh Moharrami,DF,IR Iran,26-285,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Saeid Ezatolahi,MF,IR Iran,26-071,1996,2.4,0,3,1,33.3,1.24,0.41,0.00,0.00,29.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Saleh Al-Shehri,FW,Saudi Arabia,29-040,1993,2.5,1,2,2,100.0,0.81,0.81,0.50,0.50,21.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9
Salem Al-Dawsari,MF,Saudi Arabia,31-114,1991,3.0,2,6,4,66.7,2.00,1.33,0.33,0.50,21.6,0,0,1,1.8,1.0,0.16,+0.2,+1.0
Salis Abdul Samed,MF,Ghana,22-260,2000,2.8,0,1,0,0.0,0.36,0.00,0.00,,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Salman Al-Faraj,MF,Saudi Arabia,33-132,1989,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sam Adekugbe,DF,Canada,27-329,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Saman Ghoddos,MF,IR Iran,29-096,1993,0.5,0,1,0,0.0,2.00,0.00,0.00,,6.4,0,0,0,0.2,0.2,0.18,-0.2,-0.2
Sami Al-Najei,MF,Saudi Arabia,25-307,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Samuel Oum Gouet,MF,Cameroon,24-363,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sardar Azmoun,FW,IR Iran,27-344,1995,1.4,0,5,3,60.0,3.57,2.14,0.00,0.00,13.9,0,0,0,0.9,0.9,0.19,-0.9,-0.9
Saud Abdulhamid,DF,Saudi Arabia,23-146,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,34.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Saša Lukić,MF,Serbia,26-120,1996,2.7,0,1,0,0.0,0.37,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Sebastian Szymański,MF,Poland,23-215,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sebastián Coates,DF,Uruguay,32-065,1990,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Selim Amallah,MF,Morocco,26-026,1996,3.6,0,2,0,0.0,0.55,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2
Serge Gnabry,FW,Germany,27-150,1995,2.9,1,12,4,33.3,4.11,1.37,0.08,0.25,15.6,0,0,0,1.1,1.1,0.09,-0.1,-0.1
Sergej Milinković-Savić,MF,Serbia,27-287,1995,2.6,1,3,1,33.3,1.16,0.39,0.33,1.00,23.9,0,0,0,0.2,0.2,0.06,+0.8,+0.8
Sergio Busquets,MF,Spain,34-148,1988,4.0,0,2,0,0.0,0.50,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Sergio Rochet,GK,Uruguay,29-263,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sergiño Dest,DF,United States,22-038,2000,3.4,0,6,0,0.0,1.77,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Shaquell Moore,DF,United States,26-039,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Shogo Taniguchi,DF,Japan,31-149,1991,2.3,0,2,0,0.0,0.86,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Shūichi Gonda,GK,Japan,33-283,1989,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Silvan Widmer,DF,Switzerland,29-281,1993,2.9,0,1,0,0.0,0.34,0.00,0.00,,9.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Simon Kjær,DF,Denmark,33-260,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sofiane Boufal,FW,Morocco,29-085,1993,3.9,0,5,1,20.0,1.30,0.26,0.00,0.00,22.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Sofyan Amrabat,MF,Morocco,26-112,1996,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Son Heung-min,FW,Korea Republic,30-156,1992,4.0,0,9,3,33.3,2.25,0.75,0.00,0.00,18.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Son Jun-ho,MF,Korea Republic,30-213,1992,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sorba Thomas,MF,Wales,23-111,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Srđan Babić,DF,Serbia,26-233,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Stefan Mitrović,DF,Serbia,32-203,1990,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Stephen Eustáquio,MF,Canada,25-355,1996,1.4,0,3,0,0.0,2.16,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Steve Mandanda,GK,France,37-258,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Steven Berghuis,MF,Netherlands,30-357,1991,2.2,0,5,0,0.0,2.25,0.00,0.00,,22.5,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Steven Bergwijn,FW,Netherlands,25-064,1997,2.4,0,2,0,0.0,0.85,0.00,0.00,,15.5,0,0,0,0.5,0.5,0.25,-0.5,-0.5
Steven Vitória,DF,Canada,35-334,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Strahinja Pavlović,DF,Serbia,21-201,2001,2.6,1,2,1,50.0,0.77,0.38,0.50,1.00,10.0,0,0,0,0.2,0.2,0.08,+0.8,+0.8
Sultan Al-Ghanam,DF,Saudi Arabia,28-219,1994,1.4,0,2,0,0.0,1.43,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Taha Yassine Khenissi,FW,Tunisia,30-339,1992,0.3,0,1,0,0.0,3.10,0.00,0.00,,23.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Tajon Buchanan,MF,Canada,23-306,1999,2.9,0,5,0,0.0,1.73,0.00,0.00,,15.0,0,0,0,0.9,0.9,0.19,-0.9,-0.9
Takefusa Kubo,FW,Japan,21-190,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Takehiro Tomiyasu,DF,Japan,24-036,1998,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Takuma Asano,FW,Japan,28-031,1994,1.8,1,8,2,25.0,4.36,1.09,0.13,0.50,13.2,0,0,0,0.7,0.7,0.08,+0.3,+0.3
Takumi Minamino,FW,Japan,27-329,1995,0.7,0,2,1,50.0,3.00,1.50,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Tarek Salman,DF,Qatar,25-006,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tariq Lamptey,DF,Ghana,22-072,2000,1.1,0,1,0,0.0,0.88,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Teun Koopmeiners,MF,Netherlands,24-286,1998,2.4,0,2,1,50.0,0.82,0.41,0.00,0.00,27.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Theo Hernández,DF,France,25-066,1997,3.9,0,4,1,25.0,1.03,0.26,0.00,0.00,19.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Thiago Almada,MF,Argentina,21-229,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thiago Silva,DF,Brazil,38-080,1984,4.3,0,2,0,0.0,0.46,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Thibaut Courtois,GK,Belgium,30-214,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thilo Kehrer,DF,Germany,26-081,1996,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thomas Delaney,MF,Denmark,31-099,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thomas Meunier,DF,Belgium,31-090,1991,2.3,0,3,1,33.3,1.28,0.43,0.00,0.00,19.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Thomas Müller,FW,Germany,33-089,1989,2.2,0,3,0,0.0,1.34,0.00,0.00,,11.3,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Thomas Partey,MF,Ghana,29-181,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,16.8,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Thorgan Hazard,FW,Belgium,29-257,1993,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tim Ream,DF,United States,35-067,1987,4.0,0,1,0,0.0,0.25,0.00,0.00,,3.7,0,0,0,0.3,0.3,0.30,-0.3,-0.3
Timothy Castagne,DF,Belgium,27-006,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Timothy Weah,FW,United States,22-292,2000,3.5,1,5,3,60.0,1.42,0.85,0.20,0.33,17.5,0,0,0,0.6,0.6,0.13,+0.4,+0.4
Toby Alderweireld,DF,Belgium,33-284,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Trent Alexander-Arnold,DF,England,24-065,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tyler Adams,MF,United States,23-300,1999,4.0,0,1,0,0.0,0.25,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Unai Simón,GK,Spain,25-183,1997,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Uriel Antuna,FW,Mexico,25-112,1997,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,16.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Vanja Milinković-Savić,GK,Serbia,25-294,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Victor Nelsson,DF,Denmark,24-058,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Vincent Aboubakar,FW,Cameroon,30-323,1992,1.6,2,6,3,50.0,3.80,1.90,0.33,0.67,17.8,0,0,0,0.6,0.6,0.10,+1.4,+1.4
Vincent Janssen,FW,Netherlands,28-179,1994,1.0,0,2,0,0.0,2.09,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Vinicius Júnior,FW,Brazil,22-152,2000,3.3,1,9,4,44.4,2.71,1.20,0.11,0.25,15.0,0,0,0,1.0,1.0,0.11,0.0,0.0
Virgil van Dijk,DF,Netherlands,31-156,1991,5.3,0,3,0,0.0,0.56,0.00,0.00,,10.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Vitinha,MF,Portugal,22-301,2000,1.3,0,2,2,100.0,1.50,1.50,0.00,0.00,28.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Wahbi Khazri,FW,Tunisia,31-306,1991,0.9,1,5,3,60.0,5.42,3.25,0.20,0.33,19.1,0,0,0,0.4,0.4,0.09,+0.6,+0.6
Wajdi Kechrida,DF,Tunisia,27-036,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Walid Cheddira,FW,Morocco,24-323,1998,0.7,0,2,1,50.0,2.81,1.41,0.00,0.00,9.8,0,0,0,0.5,0.5,0.23,-0.5,-0.5
Walker Zimmerman,DF,United States,29-206,1993,3.1,0,1,0,0.0,0.32,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Wataru Endo,MF,Japan,29-305,1993,3.4,0,6,1,16.7,1.78,0.30,0.00,0.00,25.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Wayne Hennessey,GK,Wales,35-321,1987,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Weston McKennie,MF,United States,24-105,1998,3.0,0,5,1,20.0,1.66,0.33,0.00,0.00,15.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
William Carvalho,MF,Portugal,30-248,1992,2.4,0,1,0,0.0,0.42,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
William Saliba,DF,France,21-262,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Wojciech Szczęsny,GK,Poland,32-237,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Wout Weghorst,FW,Netherlands,30-126,1992,0.7,2,2,2,100.0,2.81,2.81,1.00,1.00,12.0,0,0,0,0.2,0.2,0.10,+1.8,+1.8
Wéverton,GK,Brazil,34-363,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Xavi Simons,FW,Netherlands,19-234,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Xherdan Shaqiri,FW,Switzerland,31-062,1991,2.5,1,4,2,50.0,1.57,0.79,0.25,0.50,21.9,1,0,0,0.3,0.3,0.08,+0.7,+0.7
Yahya Attiat Allah,DF,Morocco,27-284,1995,2.0,0,1,0,0.0,0.49,0.00,0.00,,15.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Yahya Jabrane,MF,Morocco,31-176,1991,0.2,0,0,0,,0.00,0.00,,,,,0,0,,,,,
Yann Sommer,GK,Switzerland,33-359,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yannick Carrasco,FW,Belgium,29-098,1993,1.3,0,4,0,0.0,3.10,0.00,0.00,,13.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Yasser Al-Shahrani,DF,Saudi Arabia,30-200,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yassine Bounou,GK,Morocco,31-250,1991,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yassine Meriah,DF,Tunisia,29-162,1993,3.0,0,1,0,0.0,0.33,0.00,0.00,,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Yeltsin Tejeda,MF,Costa Rica,30-269,1992,3.0,1,2,2,100.0,0.67,0.67,0.50,0.50,15.1,0,0,0,0.4,0.4,0.21,+0.6,+0.6
Youri Tielemans,MF,Belgium,25-218,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Youssef En-Nesyri,FW,Morocco,25-193,1997,4.3,2,5,2,40.0,1.16,0.47,0.40,1.00,10.2,0,0,0,0.8,0.8,0.17,+1.2,+1.2
Youssef Msakni,MF,Tunisia,32-044,1990,1.9,0,9,2,22.2,4.79,1.07,0.00,0.00,16.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Youssouf Fofana,MF,France,23-335,1999,1.2,0,1,0,0.0,0.80,0.00,0.00,,22.3,0,0,0,0.0,0.0,0.04,0.0,0.0
Youssouf Sabaly,DF,Senegal,29-281,1993,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Youssoufa Moukoko,FW,Germany,18-021,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Youstin Salas,DF,Costa Rica,26-177,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yuki Soma,FW,Japan,25-289,1997,0.9,0,3,0,0.0,3.33,0.00,0.00,,22.7,1,0,0,0.2,0.2,0.06,-0.2,-0.2
Yunus Musah,MF,United States,20-012,2002,3.8,0,4,1,25.0,1.05,0.26,0.00,0.00,22.9,1,0,0,0.3,0.3,0.08,-0.3,-0.3
Yuto Nagatomo,MF,Japan,36-090,1986,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zakaria Aboukhlal,MF,Morocco,22-296,2000,0.6,1,2,2,100.0,3.33,3.33,0.50,0.50,15.3,0,0,0,1.0,1.0,0.48,0.0,0.0
Álvaro Morata,FW,Spain,30-049,1992,2.1,3,8,5,62.5,3.89,2.43,0.38,0.60,10.3,0,0,0,1.4,1.4,0.17,+1.6,+1.6
Álvaro Zamora,MF,Costa Rica,20-277,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ángel Di María,MF,Argentina,34-300,1988,2.5,0,4,2,50.0,1.60,0.80,0.00,0.00,24.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Ángelo Preciado,DF,Ecuador,24-296,1998,2.9,0,4,0,0.0,1.36,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Éder Militão,DF,Brazil,24-327,1998,3.9,0,5,1,20.0,1.30,0.26,0.00,0.00,20.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Óscar Duarte,DF,Costa Rica,33-191,1989,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
İlkay Gündoğan,MF,Germany,32-048,1990,2.1,1,5,2,40.0,2.38,0.95,0.00,0.00,25.9,0,1,1,1.1,0.4,0.07,-0.1,-0.4
